Id,SalePrice
1461,121319.38
1462,159192.5
1463,181711.3
1464,187090.1
1465,193229.02
1466,177598.78
1467,176436.98
1468,171034.16
1469,182241.66
1470,123354.66
1471,197492.4
1472,95354.05
1473,98268.13
1474,154176.66
1475,128692.54
1476,336516.4
1477,251379.95
1478,285893.28
1479,235608.1
1480,506990.5
1481,329916.62
1482,198429.38
1483,180714.12
1484,169687.78
1485,180620.58
1486,195567.73
1487,325479.56
1488,233594.05
1489,217458.98
1490,204298.17
1491,188356.34
1492,98131.41
1493,173207.3
1494,277823.06
1495,289089.28
1496,217617.48
1497,188513.77
1498,158975.55
1499,161383.61
1500,144775.44
1501,172046.81
1502,151113.44
1503,286657.2
1504,227677.0
1505,219784.52
1506,194590.08
1507,244426.12
1508,212804.75
1509,165473.28
1510,149871.55
1511,148392.14
1512,163560.73
1513,163526.89
1514,180102.31
1515,175242.33
1516,151612.47
1517,159530.5
1518,132464.67
1519,221128.39
1520,133186.58
1521,139759.81
1522,167137.16
1523,123577.195
1524,125957.01
1525,121993.0
1526,127834.57
1527,99810.984
1528,130932.64
1529,149110.53
1530,164507.48
1531,119273.09
1532,107188.914
1533,141511.95
1534,116393.39
1535,157533.47
1536,110821.54
1537,66833.0
1538,149952.9
1539,174655.53
1540,99709.664
1541,148255.92
1542,144483.03
1543,207441.4
1544,73911.28
1545,113645.19
1546,128496.31
1547,134149.8
1548,125891.555
1549,107453.9
1550,144050.33
1551,111732.81
1552,139004.0
1553,151171.53
1554,123634.13
1555,160309.84
1556,80520.914
1557,112930.83
1558,84100.195
1559,100099.44
1560,142875.88
1561,146558.6
1562,123083.32
1563,118653.52
1564,159179.3
1565,145218.22
1566,204382.55
1567,64007.582
1568,243630.9
1569,150549.28
1570,126195.8
1571,112911.12
1572,151986.83
1573,229266.28
1574,114427.67
1575,202590.8
1576,237610.94
1577,199935.14
1578,146530.64
1579,139023.61
1580,191394.62
1581,133994.95
1582,131003.836
1583,351923.72
1584,222945.42
1585,141310.47
1586,61886.97
1587,99484.55
1588,144622.81
1589,109165.43
1590,134361.31
1591,97675.016
1592,119856.45
1593,117501.55
1594,131221.78
1595,117547.73
1596,255231.98
1597,176828.8
1598,181243.48
1599,173167.31
1600,164394.88
1601,67038.68
1602,104875.75
1603,91121.93
1604,276138.06
1605,245273.75
1606,173297.5
1607,166108.89
1608,204676.69
1609,200831.8
1610,162620.98
1611,145138.88
1612,163323.5
1613,160805.95
1614,117319.26
1615,81672.97
1616,72458.945
1617,87326.14
1618,124188.36
1619,132114.83
1620,166260.08
1621,136887.81
1622,140468.02
1623,292819.38
1624,226611.66
1625,113437.83
1626,173077.67
1627,183669.6
1628,276675.53
1629,176534.94
1630,352346.16
1631,201137.33
1632,241989.12
1633,174159.55
1634,191256.69
1635,178111.7
1636,160524.64
1637,179590.34
1638,202119.53
1639,186442.47
1640,283290.5
1641,180507.61
1642,225014.39
1643,218054.78
1644,225149.4
1645,189947.2
1646,165431.78
1647,153179.9
1648,135614.28
1649,139427.25
1650,124865.05
1651,120727.87
1652,99541.77
1653,99350.1
1654,156204.11
1655,152783.08
1656,152454.28
1657,155186.7
1658,149848.69
1659,131396.84
1660,151422.3
1661,450304.3
1662,428097.16
1663,423152.84
1664,450865.53
1665,302502.25
1666,310595.16
1667,376780.72
1668,331803.2
1669,303283.03
1670,316484.4
1671,277196.1
1672,494658.4
1673,285145.03
1674,250032.9
1675,189425.67
1676,192519.56
1677,218018.19
1678,466695.47
1679,380965.5
1680,314703.53
1681,222849.56
1682,280344.06
1683,180268.66
1684,166994.72
1685,173973.12
1686,168111.83
1687,176130.33
1688,187879.5
1689,184759.34
1690,184535.17
1691,180973.52
1692,250121.62
1693,168538.5
1694,182492.8
1695,170878.3
1696,276245.53
1697,173904.28
1698,368521.1
1699,319834.12
1700,245127.38
1701,282837.78
1702,244159.6
1703,256338.0
1704,286812.5
1705,220125.8
1706,459150.3
1707,223479.73
1708,218591.55
1709,272452.06
1710,208730.72
1711,247325.75
1712,244224.11
1713,268945.53
1714,227309.48
1715,203333.3
1716,187756.62
1717,181316.78
1718,132878.28
1719,209121.84
1720,252944.52
1721,163253.73
1722,126937.04
1723,149846.69
1724,218612.81
1725,239064.73
1726,186847.23
1727,169919.84
1728,161379.61
1729,169402.08
1730,133026.64
1731,122464.4
1732,120458.86
1733,111340.414
1734,123670.45
1735,133099.86
1736,110969.39
1737,305845.72
1738,217531.17
1739,269255.78
1740,196822.84
1741,189709.31
1742,171971.36
1743,177460.12
1744,309102.9
1745,220348.44
1746,190718.28
1747,197519.72
1748,214592.67
1749,156351.06
1750,144481.1
1751,232705.1
1752,121555.64
1753,138994.45
1754,189393.16
1755,171241.94
1756,130946.5
1757,120193.33
1758,147865.5
1759,165908.77
1760,167009.53
1761,145112.58
1762,183482.1
1763,161664.12
1764,117769.56
1765,167303.81
1766,179449.78
1767,205326.16
1768,142271.77
1769,169618.53
1770,142800.95
1771,132057.89
1772,125592.72
1773,132496.14
1774,127102.75
1775,139662.14
1776,121206.05
1777,124221.41
1778,132005.38
1779,110505.875
1780,171781.53
1781,130427.65
1782,85255.96
1783,134040.7
1784,94037.53
1785,118105.08
1786,134678.19
1787,184583.05
1788,61927.113
1789,92022.66
1790,84408.18
1791,163146.5
1792,155420.72
1793,129881.25
1794,142917.03
1795,143532.52
1796,112266.664
1797,115732.48
1798,124454.65
1799,122248.99
1800,134063.72
1801,126889.59
1802,119185.766
1803,151084.33
1804,144646.53
1805,138815.75
1806,129240.47
1807,156796.8
1808,115610.03
1809,120501.6
1810,149379.25
1811,103792.09
1812,107276.24
1813,124699.87
1814,94016.55
1815,51076.227
1816,103279.04
1817,107147.83
1818,142295.92
1819,124920.43
1820,70931.305
1821,107967.71
1822,137776.19
1823,45777.344
1824,133068.77
1825,123090.36
1826,102529.95
1827,104239.57
1828,144281.98
1829,115200.27
1830,141968.17
1831,140993.72
1832,95180.79
1833,138377.19
1834,117981.24
1835,171188.38
1836,136821.39
1837,101924.82
1838,128440.695
1839,86933.94
1840,148275.86
1841,146474.61
1842,88101.086
1843,134784.58
1844,129582.95
1845,146144.89
1846,154025.73
1847,156163.0
1848,53065.043
1849,101393.53
1850,118342.86
1851,148000.66
1852,121588.45
1853,123611.26
1854,173048.3
1855,136081.08
1856,231505.36
1857,123926.414
1858,143857.3
1859,114794.93
1860,145266.0
1861,114794.93
1862,284536.8
1863,260665.19
1864,260665.19
1865,305227.4
1866,314527.4
1867,234531.12
1868,323518.16
1869,200935.62
1870,216646.72
1871,233287.72
1872,160979.48
1873,261877.64
1874,138692.16
1875,193871.0
1876,208158.4
1877,209655.61
1878,213294.22
1879,132547.45
1880,138956.28
1881,230958.47
1882,256239.73
1883,199775.81
1884,204737.98
1885,238642.4
1886,312979.84
1887,194664.89
1888,262954.25
1889,155476.17
1890,125460.32
1891,133096.44
